nwdate,delta_Unemployment1,delta_Mortgage_rate1,delta_House_Price_Index__Level1,delta_Unemployment3,delta_Mortgage_rate3,delta_House_Price_Index__Level3,delta_Unemployment6,delta_Mortgage_rate6,delta_House_Price_Index__Level6,delta_Unemployment9,delta_Mortgage_rate9,delta_House_Price_Index__Level9,delta_Unemployment12,delta_Mortgage_rate12,delta_House_Price_Index__Level12,delta_Unemployment15,delta_Mortgage_rate15,delta_House_Price_Index__Level15,delta_Unemployment18,delta_Mortgage_rate18,delta_House_Price_Index__Level18,delta_Unemployment21,delta_Mortgage_rate21,delta_House_Price_Index__Level21,delta_Unemployment24,delta_Mortgage_rate24,delta_House_Price_Index__Level24
Jan-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-01,0.0289951,0.0216458,0.00433446,,,,,,,,,,,,,,,,,,,,,,,,
Mar-01,0.017408,0.011556,0.00496213,,,,,,,,,,,,,,,,,,,,,,,,
Apr-01,0.0120611,0.00371727,0.00566405,0.0584642,0.0369191,0.0149606,,,,,,,,,,,,,,,,,,,,,
May-01,0.0115687,-0.0029004,0.00610663,0.0410378,0.0123728,0.0167328,,,,,,,,,,,,,,,,,,,,,
Jun-01,0.0164653,-0.0076808,0.00643563,0.0400952,-0.006864,0.0182063,,,,,,,,,,,,,,,,,,,,,
Jul-01,0.0264631,-0.010763,0.00666146,0.0544971,-0.021344,0.0192037,0.112961297,0.0155749,0.0341644,,,,,,,,,,,,,,,,,,
Aug-01,0.0413889,-0.012238,0.00689214,0.084317282,-0.030682,0.0199892,0.125355088,-0.018309,0.036722,,,,,,,,,,,,,,,,,,
Sep-01,0.0538612,-0.011122,0.00677016,0.121713107,-0.034123,0.0203238,0.161808281,-0.040987,0.0385301,,,,,,,,,,,,,,,,,,
Oct-01,0.0538413,-0.0069003,0.00654928,0.149091347,-0.03026,0.0202116,0.203588479,-0.051604,0.0394153,0.262052643,-0.014685,0.0543759,,,,,,,,,,,,,,,
Nov-01,0.0397303,0.000854841,0.00610586,0.147432762,-0.017167,0.0194253,0.231750044,-0.047849,0.0394145,0.272787851,-0.035476,0.0561473,,,,,,,,,,,,,,,
Dec-01,0.0182973,0.0100495,0.00565823,0.111868866,0.00400405,0.0183134,0.233581973,-0.030119,0.0386371,0.273677147,-0.036982,0.0568434,,,,,,,,,,,,,,,
Jan-02,0.00501376,0.0142191,0.00597908,0.063041308,0.0251234,0.0177432,0.212132655,-0.0051364,0.0379548,0.266629788,-0.026481,0.0571585,0.325093952,0.0104385,0.072119104,,,,,,,,,,,,
Feb-02,0.00342433,0.0106684,0.00670703,0.0267353,0.034937,0.0183443,0.174168109,0.0177701,0.0377696,0.258485391,-0.012912,0.0577589,0.299523197,-0.0005389,0.074491677,,,,,,,,,,,,
Mar-02,0.0093498,0.00237843,0.0081993,0.0177879,0.027266,0.0208854,0.129656774,0.0312701,0.0391987,0.25136988,-0.0028525,0.0595225,0.291465054,-0.009716,0.077728807,,,,,,,,,,,,
Apr-02,0.0108512,-0.008511,0.0094775,0.0236253,0.00453562,0.0243838,0.086666639,0.0296591,0.042127,0.235757986,-0.00060082,0.0623386,0.290255119,-0.021945,0.08154229,0.348719283,0.0149741,0.096502918,,,,,,,,,
May-02,0.00325391,-0.021738,0.0096606,0.0234549,-0.027871,0.0273374,0.0501903,0.00706605,0.0456817,0.197623017,-0.010101,0.065107027,0.281940298,-0.040783,0.085096266,0.322978105,-0.02841,0.101829064,,,,,,,,,
Jun-02,-0.008922,-0.034541,0.0091596,0.0051833,-0.064789987,0.0282978,0.0229712,-0.037524,0.0491831,0.134840073,-0.03352,0.067496513,0.25655318,-0.067642506,0.087820279,0.296648354,-0.074506476,0.106026586,,,,,,,,,
Jul-02,-0.013135,-0.038592,0.0084442,-0.018803,-0.09487041,0.0272645,0.00482234,-0.090334794,0.0516483,0.067863651,-0.065211351,0.06939147,0.216954998,-0.095471229,0.089603053,0.27145213,-0.116815428,0.108806778,0.329916295,-0.079896328,0.123767406,,,,,,
Aug-02,-0.0046724,-0.029891,0.00779936,-0.026729,-0.103023611,0.0254032,-0.0032744,-0.130894605,0.0527406,0.023461,-0.095957558,0.071084973,0.170893741,-0.113124483,0.090510271,0.255211023,-0.143806349,0.11049951,0.296248829,-0.131433508,0.127232308,,,,,,
Sep-02,0.0114845,-0.010813,0.00695813,-0.006323,-0.079295779,0.0232017,-0.0011397,-0.144085766,0.0514995,0.0166482,-0.116819756,0.07238487,0.128517088,-0.112815711,0.090698239,0.250230195,-0.146938285,0.111022005,0.290325369,-0.153802254,0.129228312,,,,,,
Oct-02,0.0190519,0.00163802,0.00661217,0.025864,-0.039066,0.0213697,0.00706103,-0.133936486,0.0486341,0.0306864,-0.129400869,0.073017959,0.093727668,-0.104277426,0.090761128,0.242819015,-0.134537305,0.110972711,0.297316147,-0.155881504,0.130176436,0.355780311,-0.118962404,0.145137064,,,
Nov-02,0.013689,0.00247417,0.00671953,0.0442254,-0.0067005,0.0202898,0.0174961,-0.109724152,0.0456931,0.040951,-0.137595145,0.073030456,0.067686396,-0.102658098,0.091374798,0.215119158,-0.119825023,0.110800096,0.29943644,-0.150506889,0.130789335,0.340474246,-0.138134048,0.147522133,,,
Dec-02,0.000540025,-0.0060381,0.00710835,0.0332809,-0.0019259,0.0204401,0.026958,-0.081221678,0.0436418,0.0321413,-0.146011665,0.071939555,0.0499292,-0.118745655,0.09282492,0.161798032,-0.11474161,0.111138289,0.283511139,-0.148864184,0.131462055,0.323606313,-0.155728153,0.149668362,,,
Jan-03,-0.0063338,-0.017358,0.00739419,0.0078953,-0.020922,0.0212221,0.0337593,-0.059988,0.0425917,0.0149563,-0.154858098,0.06985622,0.0385816,-0.150322482,0.094240034,0.101622944,-0.125199039,0.111983202,0.250714291,-0.155458917,0.132194786,0.305211424,-0.176803116,0.15139851,0.363675588,-0.139884017,0.166359138
Feb-03,-0.0022868,-0.027452,0.00684722,-0.008081,-0.050848,0.0213498,0.0361449,-0.057548,0.0416396,0.0094156,-0.160571727,0.067042837,0.0328705,-0.188442721,0.094380224,0.0596059,-0.153505674,0.112724566,0.207038644,-0.170672599,0.132149863,0.291355926,-0.201354465,0.152139103,0.332393733,-0.188981624,0.168871901
Mar-03,0.0083548,-0.035557,0.00650758,-0.00026571,-0.080366054,0.020749,0.0330152,-0.082291952,0.041189,0.0266922,-0.161587731,0.064390766,0.0318755,-0.226377718,0.092688544,0.0496635,-0.199111709,0.11357391,0.161532318,-0.195107664,0.131887279,0.283245424,-0.229230237,0.152211045,0.323340598,-0.236094207,0.170417351
Apr-03,0.0155504,-0.030178,0.00682118,0.0216185,-0.093185919,0.020176,0.0295138,-0.114107531,0.0413981,0.0553778,-0.153173607,0.062767712,0.0365748,-0.248044017,0.0900322,0.0602001,-0.243508401,0.114416013,0.12324145,-0.218384958,0.132159182,0.272332797,-0.248644836,0.152370765,0.32682993,-0.269989035,0.17157449
May-03,0.0151471,-0.0023898,0.00755768,0.0390523,-0.068123887,0.0208864,0.0309718,-0.118971463,0.0422362,0.07519724,-0.125672003,0.062526034,0.048468,-0.228695615,0.087929278,0.071922872,-0.256566609,0.115266665,0.098658219,-0.221629561,0.133611007,0.246090981,-0.238796486,0.153036305,0.330408263,-0.269478352,0.173025544
Jun-03,0.0087995,0.0353319,0.008726,0.039497,0.00276455,0.0231049,0.0392313,-0.077601501,0.0438539,0.072512213,-0.0795274,0.064293935,0.066189228,-0.158823179,0.087495661,0.071372527,-0.223613165,0.115793439,0.089160435,-0.196347156,0.136678805,0.201029301,-0.192343111,0.154992174,0.322742408,-0.226465685,0.17531594
Jul-03,0.00047886,0.0514496,0.0097716,0.0244254,0.084391752,0.0260553,0.0460439,-0.008794,0.0462313,0.0539392,-0.029716,0.067453369,0.079803194,-0.068781856,0.088823027,0.0610002,-0.163652265,0.116087515,0.084625537,-0.159116649,0.140471329,0.147666845,-0.133993206,0.158214497,0.296758192,-0.164253084,0.178426081
Aug-03,-0.008731,0.0395033,0.0106686,0.00054721,0.126284817,0.0291662,0.0395995,0.0581609,0.0500526,0.031519,0.00731335,0.071402401,0.075744451,0.000612814,0.091692226,0.0490152,-0.102410797,0.11709547,0.072470083,-0.130281791,0.144432857,0.099205429,-0.095344744,0.162777198,0.246638192,-0.112511669,0.182202496
Sep-03,-0.017145,0.0089284,0.0109661,-0.025397,0.099881379,0.0314062,0.0141,0.102645932,0.0545111,0.0138343,0.0222799,0.075260118,0.0471152,0.020354,0.095700168,0.0407922,-0.058942,0.118901894,0.0459755,-0.123731786,0.147199673,0.063763457,-0.096465777,0.168085038,0.175632323,-0.092461732,0.186398407
Oct-03,-0.020796,-0.017144,0.0113484,-0.046671,0.0312874,0.032983,-0.022246,0.11567919,0.0590383,-0.00062751,0.0224933,0.079214278,0.00726776,0.00157166,0.100436353,0.0331318,-0.037494,0.121806011,0.0143288,-0.132364827,0.149070498,0.0379541,-0.12782921,0.173454312,0.100995432,-0.102705767,0.191197481
Nov-03,-0.017829,-0.033764,0.0116923,-0.05577,-0.04198,0.0340068,-0.055223,0.084305166,0.063172968,-0.01617,0.0161813,0.084059409,-0.024251,-0.034666,0.105409177,0.0199747,-0.041367,0.125699002,-0.0067546,-0.144390448,0.151102246,0.0167003,-0.172261442,0.178439634,0.0434357,-0.137324395,0.196783975
Dec-03,-0.009873,-0.03967,0.0120694,-0.048498,-0.090577832,0.0351101,-0.073895097,0.0093035,0.066516365,-0.034398,0.0120681,0.08962126,-0.034664,-0.068297954,0.110370249,-0.0013829,-0.070223853,0.130810299,-0.0077059,-0.149519632,0.154012025,-0.0025226,-0.214309619,0.182309804,0.0152653,-0.187043609,0.20319517
Jan-04,-0.0035317,-0.02902,0.0128572,-0.031234,-0.102453301,0.0366189,-0.077905703,-0.071165862,0.069601913,-0.05348,0.0132259,0.095657229,-0.031862,-0.07996003,0.115833208,-0.023967,-0.100881642,0.137055283,0.00189749,-0.139947718,0.158424941,-0.016905,-0.234818128,0.185689428,0.00671983,-0.230282511,0.210073242
Feb-04,-0.00092578,0.00196205,0.0132436,-0.014331,-0.066727467,0.0381702,-0.070100367,-0.108707118,0.072176948,-0.069553157,0.0175777,0.101343139,-0.030501,-0.050546,0.122229581,-0.038581,-0.101393764,0.143579348,0.00564408,-0.108094304,0.163869173,-0.021085,-0.211117916,0.189272417,0.00236972,-0.238988909,0.216609805
Mar-04,-0.0018487,0.0395952,0.0140219,-0.0063062,0.0125375,0.0401226,-0.054804,-0.07804035,0.075232779,-0.0802013,0.021841,0.106639012,-0.040704,0.0246056,0.129743907,-0.04097,-0.05576,0.150492896,-0.0076891,-0.057686,0.170932947,-0.014012,-0.136982149,0.194134673,-0.008829,-0.201772136,0.222432451
Apr-04,-0.0048855,0.0528788,0.0142514,-0.00766,0.094436047,0.0415169,-0.038894,-0.008017,0.07813585,-0.085565667,0.0232702,0.111118833,-0.06114,0.107661937,0.137174149,-0.039522,0.014476,0.157350128,-0.031626,-0.0064456,0.178572203,-0.0057625,-0.045512,0.199941861,-0.024565,-0.14038208,0.227206348
May-04,-0.009661,0.0342388,0.0132471,-0.016395,0.126712838,0.0415204,-0.030726,0.0599854,0.079690586,-0.08649583,0.0180057,0.113697363,-0.085948619,0.144290537,0.142863555,-0.046896,0.07616665,0.163749996,-0.054977,0.0253191,0.185099764,-0.010751,0.0186185,0.205389589,-0.037481,-0.084405077,0.230792833
Jun-04,-0.014719,-0.0022973,0.0116496,-0.029266,0.084820377,0.0391481,-0.035572,0.09735786,0.079270784,-0.084070454,0.00678003,0.114380915,-0.109467433,0.106661407,0.145787148,-0.069970449,0.109425959,0.168892043,-0.070236163,0.0290599,0.189641033,-0.036955,0.027134,0.210081083,-0.043278,-0.052162,0.233282809
Jul-04,-0.015626,-0.028506,0.0105185,-0.040006,0.00343599,0.0354152,-0.047666,0.097872036,0.076932097,-0.078900433,-0.0045813,0.113551027,-0.125571846,0.0267062,0.146534011,-0.101146451,0.111097925,0.172589326,-0.079527946,0.017912,0.192765306,-0.071632669,-0.0030096,0.21398738,-0.045769,-0.042076,0.235357038
Aug-04,-0.010708,-0.035145,0.0103649,-0.041053,-0.065947522,0.032533,-0.057449,0.0607653,0.074053413,-0.071779343,-0.0059622,0.112223584,-0.12754911,-0.047942,0.146230361,-0.1270019,0.078343015,0.175396553,-0.087949563,0.0102191,0.196282994,-0.096030076,-0.040628,0.217632761,-0.051805,-0.047329,0.237922587
Sep-04,-0.0017038,-0.023633,0.010617,-0.028038,-0.087283512,0.0315004,-0.057304,-0.0024631,0.070648533,-0.063610116,0.0100743,0.11077118,-0.112108235,-0.080503485,0.145881312,-0.137505213,0.0193779,0.177287545,-0.098008229,0.0221424,0.20039244,-0.098273944,-0.058224,0.221141429,-0.064993,-0.06015,0.24158148
Oct-04,0.00356001,-0.009884,0.0116458,-0.008852,-0.068661973,0.0326277,-0.048858,-0.065225984,0.068042914,-0.056518,0.0292101,0.109559834,-0.087752653,-0.073243238,0.146178764,-0.134424067,-0.041956,0.179161747,-0.109998672,0.042436,0.205217062,-0.088380166,-0.05075,0.225393042,-0.08048489,-0.071671579,0.246615116
Nov-04,0.00291622,0.0010244,0.0131915,0.00477238,-0.032493,0.0354543,-0.036281,-0.098440425,0.067987296,-0.052676,0.0282724,0.109507711,-0.067006964,-0.038455,0.147677882,-0.12277673,-0.080434705,0.181684659,-0.12222952,0.0458501,0.210850851,-0.083177183,-0.022274,0.231737292,-0.091257696,-0.073121351,0.253087059
Dec-04,-0.0021447,0.0082209,0.0149423,0.00433148,-0.00063871,0.0397796,-0.023706,-0.087922226,0.071279987,-0.052972,-0.0031018,0.110428124,-0.059279,0.0094356,0.150550771,-0.107776757,-0.081142199,0.185660902,-0.133173735,0.0187392,0.217067136,-0.093676751,0.0215037,0.240172031,-0.093942466,-0.058862,0.26092102
Jan-05,-0.0072814,0.0097148,0.0161797,-0.00651,0.0189602,0.0443135,-0.015362,-0.049702,0.076941233,-0.055368,-0.046266,0.11235641,-0.063028336,0.0481702,0.15387333,-0.094262626,-0.054283,0.19049226,-0.140934039,-0.022996,0.223475243,-0.116508644,0.0613961,0.249530559,-0.094890138,-0.03179,0.269706538
Feb-05,-0.010309,0.00470365,0.0153645,-0.019735,0.0226394,0.0464865,-0.014963,-0.009854,0.08194083,-0.056016,-0.075801022,0.114473828,-0.072411812,0.0509118,0.155994243,-0.086742412,-0.015816,0.194164414,-0.142512179,-0.057795,0.228171191,-0.141964968,0.068489515,0.257337383,-0.102912631,0.000365628,0.278223824
Mar-05,-0.012358,-0.0034719,0.0145694,-0.029948,0.0109465,0.0461136,-0.025617,0.0103078,0.085893229,-0.053655,-0.076975686,0.117393625,-0.082920902,0.0078447,0.156541762,-0.089227105,0.0203822,0.196664409,-0.137725224,-0.070195659,0.23177454,-0.163122202,0.0296857,0.263180774,-0.123625219,0.0324503,0.286285669
Apr-05,-0.013746,-0.009019,0.0139415,-0.036413,-0.0077873,0.0438754,-0.042923,0.0111729,0.088188938,-0.051775,-0.057489,0.120816674,-0.091781309,-0.054053,0.156231852,-0.099441273,0.0403829,0.197748772,-0.130675562,-0.06207,0.234367702,-0.177346976,-0.030783,0.267350685,-0.152921581,0.0536088,0.293406
May-05,-0.013606,-0.00931,0.0126326,-0.03971,-0.021801,0.0411435,-0.059445,0.000838765,0.087630028,-0.054673,-0.031654,0.123084326,-0.095726171,-0.09760166,0.155617324,-0.112121633,0.0291112,0.197137739,-0.126452234,-0.037616,0.23530791,-0.182222,-0.07959594,0.269314687,-0.18167479,0.0466889,0.298480878
Jun-05,-0.012004,-0.004522,0.0112604,-0.039356,-0.022851,0.0378345,-0.069304634,-0.011904,0.083948096,-0.064973156,-0.012543,0.123727687,-0.093010936,-0.099826394,0.155228083,-0.122277069,-0.015006,0.194376219,-0.128583272,-0.0024685,0.234498867,-0.177081391,-0.093046366,0.269608998,-0.202478369,0.00683501,0.301015231
Jul-05,-0.008029,0.00405844,0.0100173,-0.033639,-0.009773,0.0339102,-0.070052099,-0.017561,0.077785656,-0.076562071,0.00139961,0.122099152,-0.085414292,-0.067262365,0.154726889,-0.125420472,-0.063826377,0.190142066,-0.133080435,0.0306097,0.231658986,-0.164314725,-0.071843631,0.268277916,-0.210986138,-0.040556,0.301260899
Aug-05,-0.0014323,0.0159206,0.0091274,-0.021465,0.015457,0.0304051,-0.061175,-0.0063436,0.071548591,-0.080910566,0.0162958,0.118035124,-0.076138186,-0.016197,0.153489422,-0.117191466,-0.08214466,0.18602242,-0.133586929,0.0445682,0.227542835,-0.147917529,-0.022159,0.265713006,-0.203687296,-0.06413894,0.299719783
Sep-05,0.00539659,0.0268016,0.0081788,-0.0040646,0.0467806,0.0273235,-0.043421,0.0239299,0.065158004,-0.073369229,0.0348764,0.111271642,-0.069037751,0.0342377,0.151051233,-0.097075531,-0.053046,0.182551629,-0.126341664,0.0317746,0.221699766,-0.132647867,0.0443121,0.261822413,-0.181145986,-0.046266,0.296932544
Oct-05,0.00530414,0.0286641,0.00772262,0.0092685,0.071386257,0.0250289,-0.024371,0.061613,0.0589391,-0.060784,0.0538257,0.102814553,-0.067293619,0.072785865,0.147128049,-0.076145839,0.00412389,0.179755785,-0.116152019,0.00755988,0.215170963,-0.123811983,0.101995928,0.256687883,-0.155046272,-0.00045737,0.293306813
Nov-05,-0.0036359,0.0196649,0.00762999,0.00706481,0.075130555,0.0235314,-0.0144,0.090587555,0.0539365,-0.05411,0.068786917,0.095080039,-0.073845756,0.09142632,0.141566571,-0.069073376,0.0589334,0.177020869,-0.110126656,-0.0070141,0.209553867,-0.126522119,0.119698733,0.251074282,-0.140852719,0.0529713,0.289244453
Dec-05,-0.018075,0.00492574,0.00751952,-0.016406,0.0532547,0.0228721,-0.020471,0.100035293,0.0501957,-0.059827,0.077184585,0.08803014,-0.089775585,0.088131125,0.134143778,-0.085444107,0.087492411,0.173923369,-0.113481888,0.000208899,0.205423765,-0.142748021,0.085029277,0.244571902,-0.149054223,0.097566759,0.284694549
Jan-06,-0.027173,-0.0017161,0.00637652,-0.048883,0.0228745,0.021526,-0.039615,0.094260737,0.0465549,-0.073253826,0.084487485,0.08046514,-0.109666763,0.07670019,0.124340581,-0.116176735,0.095660345,0.168654078,-0.125028956,0.0269984,0.201281814,-0.165035135,0.0304344,0.236696991,-0.172695099,0.124870407,0.278213911
Feb-06,-0.02472,0.00360958,0.00353288,-0.06996751,0.00681921,0.0174289,-0.0629027,0.081949767,0.0409604,-0.084367995,0.097406767,0.071365458,-0.124077817,0.075606129,0.112508954,-0.143813265,0.098245532,0.158995486,-0.139040886,0.065752629,0.194449784,-0.180094166,-0.00019489,0.226982782,-0.196489629,0.126517945,0.268503197
Mar-06,-0.015634,0.0159035,0.000180658,-0.067527268,0.017797,0.0100901,-0.083933625,0.071051703,0.0329622,-0.08799822,0.117832296,0.0602857,-0.127354387,0.094981589,0.098120191,-0.157302854,0.105928129,0.144233829,-0.152971376,0.105289415,0.184013419,-0.181009156,0.0180059,0.215513816,-0.210275289,0.10282628,0.254661952
Apr-06,-0.0061648,0.0221342,-0.002374,-0.046519,0.0416473,0.00133951,-0.095402523,0.064521793,0.0228655,-0.08613407,0.13590805,0.0478944,-0.119773233,0.126134799,0.081804652,-0.156186169,0.118347504,0.125680094,-0.162696142,0.137307658,0.16999359,-0.171548362,0.068645685,0.202621326,-0.211554542,0.072081674,0.238036504
May-06,0.00203,0.0169203,-0.003561,-0.019769,0.054958,-0.0057544,-0.089736598,0.0617772,0.0116745,-0.082671788,0.136907792,0.035206,-0.104137084,0.152364793,0.065611093,-0.143846905,0.130564155,0.106754588,-0.163582354,0.153203557,0.153241121,-0.158809974,0.120710655,0.188695419,-0.199863254,0.0547631,0.221228416
Jun-06,0.00666583,0.00415712,-0.0034356,0.00253107,0.0432116,-0.009371,-0.064996196,0.0610086,0.000719451,-0.081402553,0.114263309,0.0235916,-0.085467147,0.161043902,0.0509151,-0.124823314,0.138193195,0.088749591,-0.154771782,0.149139735,0.134863229,-0.150440304,0.148501021,0.17464282,-0.178478084,0.0612175,0.206143216
Jul-06,0.00455769,-0.0074442,-0.0025534,0.0132535,0.0136332,-0.00955,-0.033266,0.0552805,-0.00821,-0.082148997,0.078155001,0.0133156,-0.072880544,0.149541258,0.0383445,-0.106519707,0.139768006,0.072254712,-0.142932643,0.131980711,0.116130154,-0.149442616,0.150940866,0.16044365,-0.158294836,0.082278893,0.193071386
Aug-06,-0.0054205,-0.015296,-0.0011188,0.00580305,-0.018583,-0.0071078,-0.013966,0.0363746,-0.012862,-0.083933553,0.0431938,0.00456678,-0.076868743,0.118324325,0.0280982,-0.098334039,0.133781325,0.0585033,-0.13804386,0.111980687,0.09964682,-0.157779309,0.13462009,0.146133352,-0.153006929,0.102127187,0.18158765
Sep-06,-0.018853,-0.018709,0.000486267,-0.019716,-0.041449,-0.0031859,-0.017185,0.00176213,-0.012557,-0.08471233,0.0195591,-0.0024665,-0.101118686,0.072813835,0.0204057,-0.105183281,0.119594429,0.0477292,-0.144539448,0.096743721,0.085563666,-0.174487915,0.107690261,0.131677304,-0.170156437,0.107051547,0.171456895
Oct-06,-0.023093,-0.018318,0.00093505,-0.047367,-0.052323,0.000302487,-0.034114,-0.03869,-0.009247,-0.080633143,0.00295718,-0.007908,-0.12951626,0.0258317,0.0136181,-0.120247807,0.097217921,0.038647,-0.15388697,0.08744467,0.072557199,-0.190299906,0.079657374,0.116432641,-0.196809879,0.098617529,0.160746137
Nov-06,-0.013206,-0.013744,-0.00013522,-0.055153,-0.050771,0.0012861,-0.04935,-0.069354237,-0.0058217,-0.069119249,-0.014396,-0.011576,-0.139086758,-0.007577,0.00585288,-0.132021948,0.067553556,0.0293843,-0.153487244,0.083010556,0.0597894,-0.193197065,0.0612099,0.100932921,-0.212932514,0.083849321,0.147419453
Dec-06,0.0058435,-0.0059297,-0.0023643,-0.030456,-0.037992,-0.0015644,-0.050172,-0.079441019,-0.0047504,-0.047641,-0.036229,-0.014121,-0.115168689,-0.018432,-0.0040309,-0.131575045,0.0348223,0.0188412,-0.13563964,0.081602883,0.0461648,-0.174995807,0.0587522,0.083999227,-0.204944274,0.069698715,0.130112865
Jan-07,0.016077,0.0012908,-0.0046482,0.0087141,-0.018383,-0.0071477,-0.038653,-0.070706011,-0.0068452,-0.0254,-0.057073,-0.016395,-0.071919048,-0.015425,-0.015056,-0.120802164,0.00744899,0.00647039,-0.111533712,0.078835247,0.0314993,-0.145172874,0.069061995,0.065409498,-0.181585811,0.0612747,0.10928494
Feb-07,0.0112252,0.00619247,-0.0061425,0.0331457,0.0015536,-0.013155,-0.022008,-0.049217,-0.011869,-0.016204,-0.067800633,-0.018977,-0.035974,-0.012843,-0.024731,-0.105941071,-0.0060234,-0.0073021,-0.098876261,0.06910716,0.0162293,-0.120341557,0.08456416,0.0466344,-0.160051378,0.062763522,0.087777902
Mar-07,-0.0011198,0.0093646,-0.0074832,0.0261824,0.0168479,-0.018274,-0.004274,-0.021144,-0.019838,-0.02399,-0.062593146,-0.023024,-0.021459,-0.019382,-0.032395,-0.088986312,-0.0015845,-0.022305,-0.105392668,0.0516702,0.000567263,-0.109457263,0.098450757,0.0278908,-0.14881343,0.075600049,0.065725267
Apr-07,-0.0069553,0.011546,-0.008724,0.00315003,0.0271031,-0.022349,0.0118641,0.0087204,-0.029497,-0.035503,-0.043603,-0.029195,-0.02225,-0.02997,-0.038744,-0.068769022,0.0116776,-0.037405,-0.117652138,0.0345521,-0.015879,-0.108383685,0.105938347,0.0091499,-0.142022848,0.096165096,0.0430602
May-07,-0.000755,0.0122298,-0.009335,-0.00883,0.0331404,-0.025542,0.0243155,0.034694,-0.038697,-0.030838,-0.016077,-0.037411,-0.025035,-0.03466,-0.044519,-0.044804,0.0202978,-0.050273,-0.114771214,0.027117,-0.032844,-0.107706404,0.102247579,-0.009313,-0.129171699,0.117704579,0.0210924
Jun-07,0.0131159,0.0112487,-0.009574,0.00540557,0.0350245,-0.027632,0.0315879,0.0518724,-0.045906,0.00113159,0.0138809,-0.047471,-0.018585,-0.027569,-0.050657,-0.016053,0.015643,-0.060027,-0.083580741,0.03344,-0.049937,-0.099987097,0.086694705,-0.027065,-0.104051692,0.133475298,0.000258362
Jul-07,0.0206252,0.00725268,-0.009603,0.0329861,0.0307312,-0.028511,0.0361361,0.0578343,-0.050861,0.0448502,0.0394516,-0.058009,-0.002517,-0.012872,-0.057706,0.0107365,0.000761489,-0.067255981,-0.035783,0.0424088,-0.065916469,-0.084666038,0.065283282,-0.04439,-0.075397586,0.13666954,-0.019362
